"subj","trial","targSide","RT","acc","block","incentive"
"316",4,29,"heterogenous",1.041,1,"1","r"
"317",4,30,"heterogenous",2.706,0,"1","r"
"318",4,31,"absent",0.8,0,"1","r"
"319",4,32,"absent",0.905,0,"1","r"
"320",4,33,"homogenous",2.414,0,"1","r"
"321",4,34,"absent",2.122,0,"1","r"
"322",4,35,"absent",2.38,0,"1","r"
"323",4,36,"absent",1.402,0,"1","r"
"324",4,37,"absent",1.543,1,"1","r"
"325",4,38,"absent",1.084,1,"1","r"
"326",4,39,"absent",0.747,0,"1","r"
"327",4,40,"heterogenous",2.674,1,"1","r"
"328",4,41,"heterogenous",2.019,1,"1","r"
"329",4,42,"absent",1.884,1,"1","r"
"330",4,43,"homogenous",1.641,1,"1","r"
"331",4,44,"homogenous",2.151,1,"1","r"
"332",4,45,"homogenous",1.609,1,"1","r"
"333",4,46,"homogenous",1.592,1,"1","r"
"334",4,47,"heterogenous",0.942,1,"1","r"
"335",4,48,"absent",1.55,0,"1","r"
"336",4,49,"absent",1.294,1,"1","r"
"337",4,50,"absent",1.447,0,"1","r"
"338",4,51,"absent",1.584,1,"1","r"
"339",4,52,"absent",0.943,0,"1","r"
"340",4,53,"heterogenous",2.006,0,"1","r"
"341",4,54,"absent",2.003,0,"1","r"
"342",4,55,"absent",0.953,0,"1","r"
"343",4,56,"absent",1.185,1,"1","r"
"344",4,57,"absent",0.953,0,"1","r"
"345",4,58,"absent",1.756,0,"1","r"
"346",4,59,"homogenous",0.853,1,"1","r"
"347",4,60,"heterogenous",1.45,1,"1","r"
"348",4,61,"heterogenous",1.371,1,"1","r"
"349",4,62,"homogenous",0.842,1,"1","r"
"350",4,63,"homogenous",0.796,1,"1","r"
"351",4,64,"homogenous",2.061,0,"1","r"
"352",4,65,"homogenous",2.079,1,"1","r"
"353",4,66,"heterogenous",1.325,1,"1","r"
"354",4,67,"absent",0.852,0,"1","r"
"355",4,68,"absent",0.814,0,"1","r"
"356",4,69,"absent",1.293,0,"1","r"
"357",4,70,"absent",2.238,0,"1","r"
"358",4,71,"absent",0.975,1,"1","r"
"359",4,72,"absent",1.067,0,"1","r"
"360",4,73,"homogenous",1.07,1,"1","r"
"361",4,74,"heterogenous",0.662,1,"1","r"
"362",4,75,"heterogenous",0.731,1,"1","r"
"363",4,76,"heterogenous",0.715,1,"1","r"
"364",4,77,"heterogenous",1.28,1,"1","r"
"365",4,78,"homogenous",0.723,1,"1","r"
"366",4,79,"absent",0.914,0,"1","r"
"367",4,80,"homogenous",0.609,1,"1","r"
"368",4,81,"absent",0.611,0,"1","r"
"369",4,82,"heterogenous",0.661,1,"1","r"
"370",4,83,"heterogenous",0.709,1,"1","r"
"371",4,84,"homogenous",1.202,1,"1","r"
"372",4,85,"heterogenous",0.684,1,"1","r"
"373",4,86,"heterogenous",0.616,1,"1","r"
"374",4,87,"absent",0.535,0,"1","r"
"375",4,88,"heterogenous",0.421,0,"1","r"
"376",4,89,"absent",1.271,1,"1","r"
"377",4,90,"homogenous",1.018,1,"1","r"
"378",4,91,"absent",1.309,0,"1","r"
"379",4,92,"absent",0.743,0,"1","r"
"380",4,93,"absent",0.891,1,"1","r"
"381",4,94,"absent",1.874,0,"1","r"
"382",4,95,"heterogenous",1.001,1,"1","r"
"383",4,96,"absent",1.235,0,"1","r"
"384",5,1,"absent",1.266,1,"1","f"
"385",5,2,"absent",0.921,1,"1","f"
"386",5,3,"homogenous",0.687,1,"1","f"
"387",5,4,"homogenous",0.642,1,"1","f"
"388",5,5,"homogenous",0.641,1,"1","f"
"389",5,6,"absent",0.848,1,"1","f"
"390",5,7,"absent",1.047,1,"1","f"
"391",5,8,"homogenous",0.626,1,"1","f"
"392",5,9,"heterogenous",1.805,1,"1","f"
"393",5,10,"absent",2.112,1,"1","f"
"394",5,11,"absent",2.267,1,"1","f"
"395",5,12,"absent",0.911,1,"1","f"
"396",5,13,"absent",1.089,1,"1","f"
"397",5,14,"absent",1.079,1,"1","f"
"398",5,15,"homogenous",0.552,1,"1","f"
"399",5,16,"absent",0.817,1,"1","f"
"400",5,17,"absent",0.688,1,"1","f"
"401",5,18,"homogenous",0.649,1,"1","f"
"402",5,19,"homogenous",0.606,1,"1","f"
"403",5,20,"heterogenous",0.802,0,"1","f"
"404",5,21,"absent",1.656,1,"1","f"
"405",5,22,"heterogenous",0.746,1,"1","f"
"406",5,23,"absent",0.811,1,"1","f"
"407",5,24,"homogenous",0.681,1,"1","f"
"408",5,25,"heterogenous",1.124,0,"1","f"
"409",5,26,"heterogenous",1.113,1,"1","f"
"410",5,27,"heterogenous",1.103,1,"1","f"
"411",5,28,"homogenous",0.648,1,"1","f"
"412",5,29,"homogenous",0.641,1,"1","f"
"413",5,30,"absent",3.052,1,"1","f"
"414",5,31,"absent",2.617,1,"1","f"
"415",5,32,"homogenous",0.674,1,"1","f"
"416",5,33,"heterogenous",0.766,1,"1","f"
"417",5,34,"absent",2.38,1,"1","f"
"418",5,35,"heterogenous",1.014,1,"1","f"
"419",5,36,"absent",2.678,1,"1","f"
"420",5,37,"absent",1.757,1,"1","f"
"421",5,38,"heterogenous",0.833,1,"1","f"
"422",5,39,"heterogenous",1.11,1,"1","f"
"423",5,40,"homogenous",0.601,1,"1","f"
"424",5,41,"absent",2.034,0,"1","f"
"425",5,42,"absent",2.169,1,"1","f"
"426",5,43,"absent",2.273,1,"1","f"
"427",5,44,"absent",1.104,1,"1","f"
"428",5,45,"absent",1.607,1,"1","f"
"429",5,46,"absent",1.322,1,"1","f"
"430",5,47,"absent",1.028,1,"1","f"
"431",5,48,"absent",1.344,1,"1","f"
"432",5,49,"heterogenous",0.809,0,"1","f"
"433",5,50,"absent",1.251,0,"1","f"
"434",5,51,"absent",1.482,0,"1","f"
"435",5,52,"absent",4.097,1,"1","f"
"436",5,53,"heterogenous",1.36,1,"1","f"
"437",5,54,"absent",4.23,1,"1","f"
"438",5,55,"absent",1.504,1,"1","f"
"439",5,56,"heterogenous",1.206,1,"1","f"
"440",5,57,"heterogenous",3.631,1,"1","f"
"441",5,58,"absent",1.984,1,"1","f"
"442",5,59,"homogenous",0.752,1,"1","f"
"443",5,60,"heterogenous",1.696,1,"1","f"
"444",5,61,"absent",2.434,1,"1","f"
"445",5,62,"homogenous",0.865,1,"1","f"
"446",5,63,"homogenous",0.674,1,"1","f"
"447",5,64,"heterogenous",0.862,1,"1","f"
"448",5,65,"heterogenous",1.392,0,"1","f"
"449",5,66,"absent",2.921,1,"1","f"
"450",5,67,"homogenous",0.768,1,"1","f"
"451",5,68,"absent",0.944,1,"1","f"
"452",5,69,"homogenous",0.666,1,"1","f"
"453",5,70,"heterogenous",0.775,0,"1","f"
"454",5,71,"homogenous",0.67,1,"1","f"
"455",5,72,"heterogenous",1.389,1,"1","f"
"456",5,73,"absent",2.329,1,"1","f"
"457",5,74,"heterogenous",1.488,1,"1","f"
"458",5,75,"absent",2.456,1,"1","f"
"459",5,76,"homogenous",0.902,1,"1","f"
"460",5,77,"heterogenous",0.846,1,"1","f"
"461",5,78,"heterogenous",1.429,1,"1","f"
"462",5,79,"absent",1.821,1,"1","f"
"463",5,80,"absent",1.514,1,"1","f"
"464",5,81,"heterogenous",1.303,1,"1","f"
"465",5,82,"absent",2.328,1,"1","f"
"466",5,83,"homogenous",0.705,1,"1","f"
"467",5,84,"homogenous",0.681,1,"1","f"
"468",5,85,"absent",2.57,1,"1","f"
"469",5,86,"absent",0.937,1,"1","f"
"470",5,87,"absent",1.062,1,"1","f"
"471",5,88,"homogenous",0.622,1,"1","f"
"472",5,89,"absent",0.842,1,"1","f"
"473",5,90,"heterogenous",1.154,1,"1","f"
"474",5,91,"homogenous",0.688,1,"1","f"
"475",5,92,"absent",1.497,1,"1","f"
"476",5,93,"homogenous",0.616,1,"1","f"
"477",5,94,"absent",1.635,1,"1","f"
"478",5,95,"absent",0.872,1,"1","f"
"479",5,96,"absent",0.663,1,"1","f"
"480",6,1,"absent",2.37,1,"1","r"
"481",6,2,"homogenous",0.64,1,"1","r"
"482",6,3,"heterogenous",1.272,1,"1","r"
"483",6,4,"absent",5.405,1,"1","r"
"484",6,5,"heterogenous",3.697,0,"1","r"
"485",6,6,"heterogenous",5.2,0,"1","r"
"486",6,7,"heterogenous",8.18,0,"1","r"
"487",6,8,"homogenous",0.792,1,"1","r"
"488",6,9,"absent",7.109,1,"1","r"
"489",6,10,"heterogenous",3.075,1,"1","r"
"490",6,11,"absent",8.907,1,"1","r"
"491",6,12,"homogenous",0.817,1,"1","r"
"492",6,13,"absent",9.694,1,"1","r"
"493",6,14,"absent",9.404,1,"1","r"
"494",6,15,"heterogenous",4.151,1,"1","r"
"495",6,16,"absent",7.493,1,"1","r"
"496",6,17,"absent",10.301,1,"1","r"
"497",6,18,"absent",7.04,1,"1","r"
"498",6,19,"heterogenous",8.512,0,"1","r"
"499",6,20,"heterogenous",9.715,0,"1","r"
"500",6,21,"absent",13.622,1,"1","r"
"501",6,22,"homogenous",0.771,1,"1","r"
"502",6,23,"absent",9.666,1,"1","r"
"503",6,24,"absent",12.233,1,"1","r"
"504",6,25,"absent",11.616,1,"1","r"
"505",6,26,"homogenous",0.877,1,"1","r"
"506",6,27,"homogenous",0.799,1,"1","r"
"507",6,28,"homogenous",0.778,1,"1","r"
"508",6,29,"heterogenous",9.81,0,"1","r"
"509",6,30,"heterogenous",6.395,1,"1","r"
"510",6,31,"absent",10.327,0,"1","r"
"511",6,32,"homogenous",0.759,1,"1","r"
"512",6,33,"absent",11.225,1,"1","r"
