subNum	 block	 trialNo	 fixNo	 xFix	 xFixFlipped	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 RT	 accuracy
2	 1	 4	 1	 525	 13	 387	 911930	 912402	 1	 left	 R	 9.477	 1
2	 1	 5	 1	 527	 15	 385	 922554	 922774	 1	 left	 R	 7.016	 1
2	 1	 6	 1	 517	 -5	 378	 932923	 933382	 0	 x	 L	 13.383	 0
2	 1	 7	 1	 532	 -20	 381	 948167	 948673	 1	 left	 L	 1.871	 1
2	 1	 8	 1	 511	 1	 365	 951286	 951656	 1	 right	 L	 16.508	 0
2	 1	 9	 1	 521	 9	 384	 968893	 969306	 0	 x	 R	 18.368	 1
2	 1	 10	 1	 520	 -8	 379	 988324	 988759	 0	 x	 L	 19.315	 1
2	 1	 11	 1	 528	 16	 385	 1008696	 1009070	 1	 right	 R	 1.485	 1
2	 1	 12	 1	 530	 -18	 387	 1011433	 1011957	 1	 right	 L	 16.264	 0
2	 1	 13	 1	 522	 -10	 395	 1029459	 1029925	 1	 right	 L	 12.697	 1
2	 1	 14	 1	 532	 20	 390	 1043311	 1043676	 1	 left	 R	 21.980	 0
2	 1	 15	 1	 525	 -13	 385	 1067150	 1067408	 0	 x	 L	 27.831	 1
2	 1	 16	 1	 526	 -14	 390	 1097134	 1097577	 1	 left	 L	 1.441	 1
2	 1	 17	 1	 527	 15	 384	 1100726	 1101115	 0	 x	 R	 22.427	 1
2	 1	 18	 1	 526	 14	 387	 1124412	 1124888	 0	 x	 R	 18.689	 1
2	 1	 19	 1	 521	 9	 390	 1144180	 1144597	 0	 x	 R	 12.146	 1
2	 1	 20	 1	 519	 7	 387	 1158876	 1159270	 1	 right	 R	 1.403	 1
2	 1	 21	 1	 518	 6	 386	 1161825	 1162265	 0	 x	 R	 9.598	 1
2	 1	 22	 1	 512	 0	 379	 1172466	 1172729	 0	 x	 R	 12.882	 1
2	 1	 23	 1	 420	 92	 351	 1186619	 1186825	 0	 x	 L	 18.280	 1
2	 1	 24	 1	 512	 0	 373	 1205753	 1206185	 0	 x	 R	 13.038	 1
2	 1	 25	 1	 517	 -5	 383	 1220742	 1221183	 1	 left	 L	 1.460	 1
2	 1	 26	 1	 510	 -2	 372	 1223453	 1223827	 1	 left	 R	 9.443	 1
2	 1	 27	 1	 517	 5	 380	 1234648	 1235025	 1	 right	 R	 1.259	 1
2	 1	 28	 1	 523	 11	 378	 1237456	 1237921	 1	 left	 R	 21.038	 0
2	 1	 29	 1	 528	 -16	 385	 1260044	 1260445	 1	 left	 L	 1.504	 1
2	 1	 30	 1	 508	 4	 382	 1262683	 1263061	 0	 x	 L	 15.269	 1
2	 1	 31	 1	 518	 -6	 378	 1278903	 1279399	 0	 x	 L	 16.527	 1
2	 1	 32	 1	 524	 -12	 381	 1296979	 1297521	 0	 x	 L	 13.807	 1
2	 1	 33	 1	 517	 5	 382	 1312637	 1313025	 0	 x	 R	 15.004	 1
2	 1	 34	 1	 515	 -3	 379	 1329089	 1329523	 0	 x	 L	 10.167	 1
2	 1	 35	 1	 517	 -5	 377	 1340808	 1341361	 1	 right	 L	 18.096	 0
2	 1	 36	 1	 467	 -45	 277	 1360249	 1360525	 0	 x	 R	 13.676	 1
2	 1	 37	 1	 519	 -7	 376	 1375571	 1375976	 1	 left	 L	 1.641	 1
2	 1	 38	 1	 518	 -6	 371	 1378259	 1378685	 1	 left	 L	 1.299	 1
2	 1	 39	 1	 371	 -141	 383	 1381030	 1381362	 1	 left	 R	 14.646	 1
2	 1	 40	 1	 510	 -2	 373	 1396618	 1396998	 0	 x	 R	 5.303	 1
2	 1	 41	 1	 221	 291	 333	 1403677	 1404000	 0	 x	 L	 14.167	 1
2	 1	 42	 1	 523	 11	 383	 1419689	 1420087	 1	 left	 R	 9.865	 0
2	 1	 43	 1	 463	 49	 278	 1431409	 1431790	 0	 x	 L	 15.048	 1
2	 1	 44	 1	 501	 -11	 363	 1448115	 1448447	 1	 right	 R	 1.771	 1
2	 1	 45	 1	 528	 16	 388	 1451278	 1451727	 0	 x	 R	 13.525	 1
2	 1	 46	 1	 517	 5	 375	 1467666	 1468064	 0	 x	 R	 18.330	 1
2	 1	 47	 1	 514	 2	 371	 1486960	 1487450	 1	 right	 R	 1.374	 1
2	 1	 48	 1	 513	 -1	 378	 1489393	 1489798	 1	 right	 L	 19.157	 0
2	 1	 49	 1	 516	 4	 381	 1511011	 1511483	 1	 right	 R	 1.611	 1
2	 1	 50	 1	 525	 13	 387	 1513820	 1514086	 0	 x	 R	 23.064	 0
2	 1	 51	 1	 517	 -5	 373	 1538274	 1538720	 0	 x	 L	 14.739	 1
